iter	Passed	Remaining
402	5464	8094
403	5476	8079
404	5489	8064
405	5500	8047
406	5513	8032
407	5526	8018
408	5540	8005
409	5551	7988
410	5563	7972
411	5575	7957
412	5589	7943
413	5599	7925
414	5611	7910
415	5623	7894
416	5635	7878
417	5647	7862
418	5658	7846
419	5671	7831
420	5683	7816
421	5696	7802
422	5713	7793
423	5729	7783
424	5741	7768
425	5757	7757
426	5769	7742
427	5780	7725
428	5793	7710
429	5806	7696
430	5818	7682
431	5830	7666
432	5843	7651
433	5858	7639
434	5870	7625
435	5883	7610
436	5895	7595
437	5907	7580
438	5924	7570
439	5938	7557
440	5951	7543
441	5962	7527
442	5974	7512
443	5987	7498
444	5999	7483
445	6011	7466
446	6023	7452
447	6036	7437
448	6049	7423
449	6061	7407
450	6074	7394
451	6088	7381
452	6102	7368
453	6116	7355
454	6127	7339
455	6141	7326
456	6154	7312
457	6168	7299
458	6182	7286
459	6194	7271
460	6205	7255
461	6218	7241
462	6232	7228
463	6246	7215
464	6257	7199
465	6271	7186
466	6283	7171
467	6297	7158
468	6313	7147
469	6326	7134
470	6344	7125
471	6363	7118
472	6384	7113
473	6404	7107
474	6423	7100
475	6442	7092
476	6484	7110
477	6548	7150
478	6585	7163
479	6602	7152
480	6618	7141
481	6636	7132
482	6652	7120
483	6667	7108
484	6683	7096
485	6697	7083
486	6710	7068
487	6721	7051
488	6735	7038
489	6749	7025
490	6763	7010
491	6776	6997
492	6789	6981
493	6801	6967
494	6816	6954
495	6829	6939
496	6847	6929
497	6866	6921
498	6882	6910
499	6902	6902
500	6921	6893
501	6939	6883
502	6953	6870
503	6969	6858
504	6986	6847
505	7002	6836
506	7023	6829
507	7039	6817
508	7054	6804
509	7070	6793
510	7090	6784
511	7111	6777
512	7128	6767
513	7144	6755
514	7165	6748
515	7181	6736
516	7197	6724
517	7216	6714
518	7232	6702
519	7246	6689
520	7262	6676
521	7277	6663
522	7294	6652
523	7309	6640
524	7326	6628
525	7343	6617
526	7361	6607
527	7379	6597
528	7398	6586
529	7415	6575
530	7431	6563
531	7446	6550
532	7470	6545
533	7491	6537
534	7509	6526
535	7527	6516
536	7546	6506
537	7564	6495
538	7581	6484
539	7600	6474
540	7621	6466
541	7638	6454
542	7654	6442
543	7673	6432
544	7691	6421
545	7708	6409
546	7726	6398
547	7743	6386
548	7758	6373
549	7774	6361
550	7791	6349
551	7808	6336
552	7827	6326
553	7843	6314
554	7858	6300
555	7875	6289
556	7900	6283
557	7920	6274
558	7935	6260
559	7952	6248
560	7966	6233
561	7979	6218
562	7993	6204
563	8009	6191
564	8025	6179
565	8042	6167
566	8060	6155
567	8078	6143
568	8094	6131
569	8111	6119
570	8129	6107
571	8145	6094
572	8161	6082
573	8178	6069
574	8192	6055
575	8207	6041
576	8222	6028
577	8237	6014
578	8253	6000
579	8268	5987
580	8287	5976
581	8303	5963
582	8318	5949
583	8335	5937
584	8349	5923
585	8366	5910
586	8382	5897
587	8400	5886
588	8418	5874
589	8432	5860
590	8448	5846
591	8463	5832
592	8477	5818
593	8492	5804
594	8508	5791
595	8523	5777
596	8537	5762
597	8553	5750
598	8568	5736
599	8587	5725
600	8601	5710
601	8619	5698
602	8637	5686
603	8655	5674
604	8672	5662
605	8691	5650
606	8706	5636
607	8723	5624
608	8737	5609
609	8750	5594
610	8768	5582
611	8783	5568
612	8800	5555
613	8812	5540
614	8827	5526
615	8843	5512
616	8861	5500
617	8875	5486
618	8898	5477
619	8921	5467
620	8938	5455
621	8955	5442
622	8970	5428
623	8985	5414
624	9002	5401
625	9024	5391
626	9042	5379
627	9060	5367
628	9077	5353
629	9096	5342
630	9114	5330
631	9183	5347
632	9228	5350
633	9246	5338
634	9267	5326
635	9300	5322
636	9313	5307
637	9337	5297
638	9352	5283
639	9363	5267
640	9378	5252
641	9394	5238
642	9409	5224
643	9426	5210
644	9444	5198
645	9462	5185
646	9478	5171
647	9494	5157
648	9509	5143
649	9523	5127
650	9540	5114
651	9555	5100
652	9575	5088
653	9592	5075
654	9612	5063
655	9631	5050
656	9648	5037
657	9669	5026
658	9684	5011
659	9703	4998
660	9718	4984
661	9733	4969
662	9748	4954
663	9763	4940
664	9774	4923
665	9786	4908
666	9799	4892
667	9810	4876
668	9822	4859
669	9834	4843
670	9849	4829
671	9860	4812
672	9871	4796
673	9883	4780
674	9898	4765
675	9913	4751
676	9924	4735
677	9939	4720
678	9950	4704
679	9963	4688
680	9976	4673
681	9988	4657
682	9997	4640
683	10011	4625
684	10023	4609
685	10035	4593
686	10045	4576
687	10057	4560
688	10068	4544
689	10078	4527
690	10089	4512
691	10102	4496
692	10113	4480
693	10124	4464
694	10137	4448
695	10149	4432
696	10160	4416
697	10172	4401
698	10185	4386
699	10196	4369
700	10211	4355
701	10227	4341
702	10243	4327
703	10261	4314
704	10277	4300
705	10293	4286
706	10310	4272
707	10326	4258
708	10342	4245
709	10358	4230
710	10375	4217
711	10393	4204
712	10417	4193
713	10439	4181
714	10453	4166
715	10467	4151
716	10480	4136
717	10494	4121
718	10505	4105
719	10518	4090
720	10531	4075
721	10541	4058
722	10554	4043
723	10567	4028
724	10580	4013
725	10591	3997
726	10605	3982
727	10619	3967
728	10634	3953
729	10648	3938
730	10660	3922
731	10671	3907
732	10684	3891
733	10697	3876
734	10712	3862
735	10731	3849
736	10750	3836
737	10771	3823
738	10792	3811
739	10811	3798
740	10827	3784
741	10846	3771
742	10864	3757
743	10884	3745
744	10910	3734
745	10930	3721
746	10945	3707
747	10963	3693
748	10979	3679
749	10996	3665
750	11016	3652
751	11030	3637
752	11043	3622
753	11058	3607
754	11072	3593
755	11083	3577
756	11095	3561
757	11106	3545
758	11116	3529
759	11129	3514
760	11141	3499
761	11152	3483
762	11164	3467
763	11176	3452
764	11189	3437
765	11200	3421
766	11213	3406
767	11227	3391
768	11248	3378
769	11265	3364
770	11281	3350
771	11300	3337
772	11320	3324
773	11340	3311
774	11356	3297
775	11373	3283
776	11388	3268
777	11406	3254
778	11431	3242
779	11451	3230
780	11471	3216
781	11489	3202
782	11507	3189
783	11521	3174
784	11532	3158
785	11543	3143
786	11557	3128
787	11571	3113
788	11583	3097
789	11594	3082
790	11605	3066
791	11620	3051
792	11636	3037
793	11647	3021
794	11659	3006
795	11672	2991
796	11686	2976
797	11699	2961
798	11712	2946
799	11724	2931
800	11738	2916
801	11753	2901
802	11770	2887
803	11788	2873
804	11808	2860
805	11830	2847
806	11853	2834
807	11873	2821
808	11896	2808
809	11924	2797
810	11951	2785
811	11972	2771
812	11989	2757
813	12005	2743
814	12020	2728
815	12035	2713
816	12053	2699
817	12071	2685
818	12088	2671
819	12103	2656
820	12120	2642
821	12135	2627
822	12150	2613
823	12169	2599
824	12183	2584
825	12197	2569
826	12208	2553
827	12221	2538
828	12234	2523
829	12248	2508
830	12262	2493
831	12278	2479
832	12298	2465
833	12316	2451
834	12335	2437
835	12357	2424
836	12380	2411
837	12398	2396
838	12415	2382
839	12433	2368
840	12451	2354
841	12468	2339
842	12493	2326
843	12507	2311
844	12519	2296
845	12545	2283
846	12567	2270
847	12586	2256
848	12610	2242
849	12638	2230
850	12663	2217
851	12686	2203
852	12701	2188
853	12720	2174
854	12742	2160
855	12757	2146
856	12780	2132
857	12807	2119
858	12831	2106
859	12849	2091
860	12867	2077
861	12891	2063
862	12904	2048
863	12914	2032
864	12932	2018
865	12947	2003
866	12962	1988
867	12976	1973
868	12989	1958
869	13004	1943
870	13017	1927
871	13029	1912
872	13042	1897
873	13056	1882
874	13067	1866
875	13078	1851
876	13091	1836
877	13104	1820
878	13118	1805
879	13129	1790
880	13141	1775
881	13153	1759
882	13163	1744
883	13175	1728
884	13187	1713
885	13199	1698
886	13209	1682
887	13222	1667
888	13234	1652
889	13246	1637
890	13258	1621
891	13272	1606
892	13283	1591
893	13295	1576
894	13308	1561
895	13322	1546
896	13342	1532
897	13359	1517
898	13384	1503
899	13405	1489
900	13425	1475
901	13444	1460
902	13464	1446
903	13489	1432
904	13509	1418
905	13532	1404
906	13551	1389
907	13573	1375
908	13593	1360
909	13611	1346
910	13626	1331
911	13643	1316
912	13658	1301
913	13676	1286
914	13689	1271
915	13704	1256
916	13720	1241
917	13736	1226
918	13748	1211
919	13758	1196
920	13771	1181
921	13783	1166
922	13795	1150
923	13807	1135
924	13819	1120
925	13832	1105
926	13846	1090
927	13856	1075
928	13872	1060
929	13895	1045
930	13915	1031
931	13937	1016
932	13962	1002
933	13980	987
934	13999	973
935	14019	958
936	14047	944
937	14068	929
938	14086	915
939	14106	900
940	14121	885
941	14136	870
942	14153	855
943	14174	840
944	14192	826
945	14211	811
946	14230	796
947	14250	781
948	14270	766
949	14296	752
950	14315	737
951	14340	723
952	14362	708
953	14381	693
954	14396	678
955	14415	663
956	14431	648
957	14447	633
958	14466	618
959	14481	603
960	14496	588
961	14512	573
962	14530	558
963	14549	543
964	14568	528
965	14593	513
966	14614	498
967	14632	483
968	14652	468
969	14666	453
970	14682	438
971	14709	423
972	14727	408
973	14742	393
974	14765	378
975	14781	363
976	14802	348
977	14820	333
978	14840	318
979	14859	303
980	14876	288
981	14896	273
982	14913	257
983	14928	242
984	14947	227
985	14970	212
986	14991	197
987	15010	182
988	15029	167
989	15051	152
990	15074	136
991	15088	121
992	15107	106
993	15122	91
994	15139	76
995	15157	60
996	15176	45
997	15192	30
998	15207	15
999	15222	0
